borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
MANHATTAN,SMITH,27,40.710346,-73.998693,27,"1,934","1,935","8,988.0",4.65,"4,126","4,126",923,0.481,12,0,"$3,270.00",$551.00,6,38,47,21,0.630558659818236,0.401293674317076,0.556805216109615
BRONX,MELROSE,28,40.820763,-73.919543,28,"1,021","1,023","4,854.5",4.75,"2,418","2,418",363,0.358,8,1,"$2,515.00",$486.00,10,32,52,20,0.952209647727185,0.5,0.528551035654027
BROOKLYN,FARRAGUT,29,40.700054,-73.982215,29,"1,389","1,390","6,512.5",4.69,"3,185","3,185",537,0.388,10,0,"$2,324.00",$532.00,4,9,19,20,0.369441340181764,0.5,0.17643314077054400
MANHATTAN,KING TOWERS,30,40.799695,-73.949178,30,"1,377","1,379","6,342.5",4.61,"3,013","3,013",511,0.375,10,0,"$3,135.00",$559.00,9,24,42,20,0.908788780274132,0.5,0.43095098190189700
BROOKLYN,ALBANY,31,40.673647,-73.937623,31,823,829,"3,777.5",4.59,"1,886","1,886",267,0.327,6,0,"$2,356.00",$565.00,9,23,52,20,0.908788780274132,0.5,0.5158761380236020
BRONX,BRONX RIVER,32,40.834974,-73.876645,32,"1,245","1,246","5,942.5",4.77,"2,998","2,998",464,0.375,9,1,"$2,131.00",$512.00,1,31,37,21,0.0912112197258679,0.401293674317076,0.38756092822932300
QUEENS,WOODSIDE,33,40.755625,-73.909942,33,"1,355","1,357","6,321.5",4.67,"2,858","2,858",537,0.402,20,0,"$2,251.00",$594.00,2,9,27,22,0.158655253931457,0.308537538725987,0.17911595002741500
BRONX,EASTCHESTER GARDENS,34,40.870299,-73.852252,34,877,877,"4,249.5",4.85,"2,051","2,051",323,0.371,10,0,"$2,244.00",$551.00,1,14,28,21,0.0912112197258679,0.401293674317076,0.21771049342147500
STATEN ISLAND,SOUTH BEACH,35,40.595336,-74.079298,35,421,422,"1,936.5",4.6,891,891,183,0.441,8,0,"$2,795.00",$479.00,0,7,3,21,0.0477903522728147,0.401293674317076,0.060356054180708200
BROOKLYN,SHEEPSHEAD BAY,36,40.59622,-73.939625,36,"1,054","1,056","4,911.0",4.66,"2,383","2,383",371,0.354,18,0,"$2,573.00",$542.00,3,14,12,19,0.252492537546923,0.598706325682924,0.20007079335125400
