borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
STATEN ISLAND,STAPLETON,114,40.622434,-74.081279,114,693,693,"3,358.5",4.85,"1,711","2,066",202,0.306,6,1,"$3,654.00",$521.00,6,4,4,14,0.630558659818236,0.933192798731142,0.1575816467698430
STATEN ISLAND,WEST BRIGHTON I,116,40.635923,-74.118815,116,487,490,"2,338.5",4.8,"1,377","1,377",135,0.278,8,1,"$4,204.00",$543.00,0,4,2,17,0.0477903522728147,0.773372647623132,0.05684786174518590
STATEN ISLAND,RICHMOND TERRACE,117,40.645356,-74.087154,117,488,489,"2,308.0",4.73,"1,269","1,269",137,0.284,6,1,"$4,129.00",$530.00,1,4,7,19,0.0912112197258679,0.598706325682924,0.09321778417487070
BRONX,ADAMS,118,40.816611,-73.90565,118,924,925,"4,306.0",4.66,"2,310","2,310",335,0.364,7,0,"$4,149.00",$497.00,10,36,64,20,0.952209647727185,0.5,0.6262595372942160
BRONX,JACKSON,120,40.822333,-73.918256,267,868,868,"4,137.0",4.77,"2,203","2,203",289,0.338,7,1,"$3,590.00",$533.00,8,37,55,20,0.841344746068543,0.5,0.5685062592454100
BRONX,MOTT HAVEN,121,40.812127,-73.922001,121,992,993,"4,634.0",4.67,"2,542","2,542",313,0.317,8,1,"$4,456.00",$530.00,11,36,23,17,0.977249868051821,0.773372647623132,0.5274612071045130
BROOKLYN,LAFAYETTE,122,40.689789,-73.958656,122,882,882,"4,385.0",4.97,"2,422","2,422",286,0.327,7,0,"$3,350.00",$609.00,12,26,55,20,0.990184671371355,0.5,0.5938574481218340
MANHATTAN,CLINTON,123,40.793617,-73.946389,123,748,749,"3,523.0",4.71,"1,720","1,720",330,0.45,6,2,"$4,756.00",$529.00,5,30,29,18,0.5,0.691462461274013,0.5036087522313380
MANHATTAN,WHITE,124,40.789811,-73.943951,112,246,248,733.0,2.98,270,270,220,0.898,1,0,"$5,794.00",$304.00,11,19,33,19,0.977249868051821,0.598706325682924,0.470322861709431
MANHATTAN,AUDUBON,125,40.831062,-73.942853,3,167,168,826.5,4.95,446,446,64,0.388,1,0,"$3,382.00",$578.00,2,27,25,19,0.158655253931457,0.598706325682924,0.3256127944159900
MANHATTAN,WISE TOWERS,127,40.789965,-73.971488,127,397,399,"1,739.5",4.38,523,750,168,0.438,2,1,"$4,441.00",$555.00,8,12,16,17,0.841344746068543,0.773372647623132,0.19743614087608600
BRONX,MOORE,129,40.812868,-73.909992,93,463,463,"2,165.5",4.68,"1,133","1,133",157,0.343,2,0,"$3,350.00",$520.00,5,41,56,19,0.5,0.598706325682924,0.626448665399021
BRONX,MORRISANIA,130,40.832847,-73.906663,141,206,206,962.0,4.67,531,531,69,0.34,2,0,"$3,891.00",$449.00,3,35,68,21,0.252492537546923,0.401293674317076,0.5556705807022100
BROOKLYN,TOMPKINS,131,40.696959,-73.945148,131,"1,045","1,046","5,218.5",4.99,"2,818","2,818",352,0.34,8,1,"$3,532.00",$572.00,6,26,60,21,0.630558659818236,0.401293674317076,0.5391045042971600
BRONX,MILL BROOK EXTENSION,132,40.804116,-73.915972,84,125,125,611.5,4.89,297,297,54,0.432,1,0,"$3,198.00",$462.00,5,16,24,19,0.5,0.598706325682924,0.3294295222948300
MANHATTAN,CHELSEA,134,40.748547,-74.001228,134,425,425,"1,914.5",4.5,733,910,181,0.43,2,0,"$4,584.00",$583.00,5,29,42,20,0.5,0.5,0.42786439086059900
BROOKLYN,ROOSEVELT I,135,40.69327,-73.937225,135,761,763,"3,575.5",4.7,"1,814","1,814",323,0.428,6,0,"$3,914.00",$526.00,8,35,56,20,0.841344746068543,0.5,0.6005971037461750
MANHATTAN,FULTON,136,40.743582,-74.004542,136,944,944,"4,223.0",4.47,"2,166","2,166",374,0.399,11,1,"$4,866.00",$678.00,6,24,42,20,0.630558659818236,0.5,0.4015913169017680
BRONX,BOSTON SECOR,138,40.882537,-73.833363,138,538,538,"2,487.0",4.62,"1,322","1,322",184,0.346,4,2,"$4,778.00",$566.00,2,6,7,19,0.158655253931457,0.598706325682924,0.04983207500123400
MANHATTAN,ISAACS,139,40.781618,-73.945018,139,634,636,"2,638.0",4.16,"1,250","1,250",279,0.441,3,1,"$5,009.00",$556.00,6,16,24,19,0.630558659818236,0.598706325682924,0.2708778722930460
BRONX,WEBSTER,141,40.83289,-73.90843,141,606,606,"2,831.0",4.67,"1,562","1,562",223,0.372,5,1,"$4,319.00",$503.00,6,49,74,21,0.630558659818236,0.401293674317076,0.6946323718644680
BROOKLYN,HABER,142,40.572657,-73.991048,166,380,380,"1,327.0",3.49,442,442,347,0.928,3,0,"$5,647.00",$295.00,4,5,8,18,0.369441340181764,0.691462461274013,0.1328910969771220
QUEENS,REHAB PROGRAM (COLLEGE POINT),143,40.78043,-73.843012,186,13,13,32.5,2.5,13,13,12,0.923,1,0,"$4,821.00",$235.00,5,7,1,13,0.5,0.959940843136183,0.08790009977077070
BRONX,MITCHEL,145,40.809098,-73.925808,145,"1,732","1,732","7,554.0",4.36,"4,010","4,010",666,0.391,10,1,"$4,350.00",$534.00,5,24,42,20,0.5,0.5,0.4568505564683820
BROOKLYN,VAN DYKE II,146,40.664539,-73.903167,182,111,112,413.5,3.73,128,128,104,0.945,1,0,"$5,546.00",$334.00,3,20,40,21,0.252492537546923,0.401293674317076,0.34011361326688700
MANHATTAN,HARLEM RIVER II,147,40.826804,-73.938466,3,116,116,515.0,4.44,272,272,40,0.36,1,0,"$5,059.00",$589.00,1,15,47,22,0.0912112197258679,0.308537538725987,0.23060984750257400
MANHATTAN,DOUGLASS ADDITION,148,40.798351,-73.967697,82,135,135,667.5,4.94,337,337,50,0.37,1,0,"$5,667.00",$600.00,4,17,9,16,0.369441340181764,0.841344746068543,0.16824334138612000
MANHATTAN,POLO GROUNDS TOWERS,149,40.830991,-73.937823,149,"1,614","1,614","7,682.0",4.76,"3,941","3,941",581,0.365,4,4,"$4,190.00",$545.00,2,24,42,22,0.158655253931457,0.308537538725987,0.2900528029211100
MANHATTAN,830 AMSTERDAM AVENUE,150,40.797054,-73.968728,82,158,159,724.0,4.58,351,351,63,0.404,1,0,"$4,992.00",$492.00,8,14,8,15,0.841344746068543,0.894350226333145,0.1792921427136200
MANHATTAN,WSUR (SITE A) 120 WEST 94TH STREET,151,40.791869,-73.969827,127,69,70,300.5,4.36,145,145,19,0.275,1,0,,$671.00,7,17,11,17,0.747507462453077,0.773372647623132,0.18878476915590100
MANHATTAN,LA GUARDIA ADDITION,152,40.711655,-73.988586,76,149,150,491.5,3.3,193,193,142,0.953,1,0,"$5,645.00",$297.00,8,32,45,19,0.841344746068543,0.598706325682924,0.5945293963823000
MANHATTAN,STRAUS,153,40.741026,-73.979643,153,267,267,"1,162.5",4.35,550,550,127,0.481,2,0,"$4,674.00",$564.00,10,22,54,21,0.952209647727185,0.401293674317076,0.41286048980825300
MANHATTAN,131 SAINT NICHOLAS AVENUE,154,40.804113,-73.953244,97,98,100,386.0,3.94,165,165,41,0.427,1,0,"$4,694.00",$529.00,9,14,33,20,0.908788780274132,0.5,0.28333700177047500
MANHATTAN,DE HOSTOS APARTMENTS,155,40.79258,-73.972111,127,219,223,953.5,4.35,453,453,87,0.407,1,0,"$4,130.00",$532.00,9,13,13,16,0.908788780274132,0.841344746068543,0.2034815249908180
BROOKLYN,303 VERNON AVENUE,156,40.696112,-73.939525,73,234,234,"1,101.0",4.71,541,541,100,0.431,1,0,"$4,272.00",$511.00,5,36,51,21,0.5,0.401293674317076,0.5511802654094650
BRONX,BRONX RIVER ADDITION,157,40.833527,-73.876441,32,226,226,640.0,2.83,241,241,206,0.928,2,0,"$6,128.00",$290.00,4,31,32,20,0.369441340181764,0.5,0.40743286470147400
BROOKLYN,SARATOGA VILLAGE,158,40.685903,-73.91713,162,125,125,562.5,4.5,298,298,42,0.336,1,0,"$4,147.00",$613.00,8,29,43,19,0.841344746068543,0.598706325682924,0.5580388721498880
MANHATTAN,HOLMES TOWERS,159,40.780712,-73.945414,139,536,537,"2,070.0",3.86,941,941,257,0.481,2,0,"$4,952.00",$511.00,6,16,23,19,0.630558659818236,0.598706325682924,0.24466491118643700
MANHATTAN,BETHUNE GARDENS,160,40.832169,-73.941756,3,210,210,735.0,3.5,260,260,185,0.885,1,0,"$5,007.00",$337.00,4,23,36,20,0.369441340181764,0.5,0.341623921669262
BROOKLYN,KINGSBOROUGH EXTENSION,161,40.675085,-73.924312,10,182,184,637.0,3.5,203,203,168,0.928,1,0,"$4,637.00",$343.00,1,19,50,22,0.0912112197258679,0.308537538725987,0.33433342319141100
BROOKLYN,OCEAN HILL APARTMENTS,162,40.681028,-73.908366,162,238,238,"1,077.0",4.53,640,640,62,0.266,3,1,"$4,527.00",$684.00,9,16,53,21,0.908788780274132,0.401293674317076,0.43470659841882000
BROOKLYN,WYCKOFF GARDENS,163,40.682542,-73.983819,163,528,529,"2,434.0",4.61,"1,131","1,131",231,0.446,3,0,"$4,149.00",$584.00,3,27,34,20,0.252492537546923,0.5,0.34525391223029300
QUEENS,CARLETON MANOR,164,40.591184,-73.799947,75,169,174,728.5,4.31,357,357,53,0.315,1,0,"$4,498.00",$506.00,1,2,2,17,0.0912112197258679,0.773372647623132,0.023149194957869200
QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,40.597165,-73.772966,165,712,712,"3,106.0",4.36,"1,622","1,622",233,0.335,4,1,"$7,988.00",$470.00,2,0,5,19,0.158655253931457,0.598706325682924,0.03335932065179150
BROOKLYN,CAREY GARDENS,166,40.575524,-73.990162,166,682,683,"3,095.0",4.54,"1,632","1,632",284,0.419,3,2,"$5,476.00",$486.00,6,7,5,14,0.630558659818236,0.933192798731142,0.17521677634668300
BROOKLYN,REID APARTMENTS,167,40.661989,-73.938367,167,227,230,681.5,3,235,235,206,0.92,1,0,"$5,227.00",$318.00,8,20,46,21,0.841344746068543,0.401293674317076,0.45224580561909400
BROOKLYN,HUGHES APARTMENTS,168,40.667949,-73.908402,168,509,513,"2,421.5",4.76,"1,366","1,366",135,0.268,3,1,"$4,201.00",$585.00,10,15,30,19,0.952209647727185,0.598706325682924,0.35345340382047500
BROOKLYN,LOW HOUSES,169,40.669532,-73.904734,169,534,536,"2,542.0",4.76,"1,358","1,358",156,0.297,4,0,"$4,052.00",$507.00,9,21,29,19,0.908788780274132,0.598706325682924,0.4084254891352360
BROOKLYN,SURFSIDE GARDENS,170,40.575049,-73.998543,170,594,600,"2,550.0",4.29,"1,141","1,141",358,0.617,5,0,"$5,261.00",$450.00,5,5,6,17,0.5,0.773372647623132,0.12639857314611900
BROOKLYN,GLENMORE PLAZA,171,40.671107,-73.906225,169,439,440,"1,701.5",3.88,823,823,189,0.441,4,0,"$6,221.00",$499.00,14,21,40,19,0.99865010196837,0.598706325682924,0.49200037696420300
BROOKLYN,O'DWYER GARDENS,172,40.57379,-73.999359,172,570,573,"2,204.0",3.87,947,947,305,0.544,6,1,"$6,649.00",$525.00,1,8,4,16,0.0912112197258679,0.841344746068543,0.11019932585718800
MANHATTAN,WSUR (SITE B) 74 WEST 92ND STREET,173,40.789836,-73.969265,127,168,168,735.0,4.38,318,318,77,0.475,1,0,"$4,167.00",$512.00,7,15,12,17,0.747507462453077,0.773372647623132,0.17570128728795200
MANHATTAN,WSUR (SITE C) 589 AMSTERDAM AVENUE,174,40.789124,-73.97349,127,158,158,690.0,4.37,348,348,61,0.396,1,0,,$558.00,8,12,19,18,0.841344746068543,0.691462461274013,0.198493644828702
STATEN ISLAND,WEST BRIGHTON II,175,40.634927,-74.118927,116,120,144,382.0,3.18,99,99,74,0.892,8,0,"$6,036.00",$339.00,3,3,6,19,0.252492537546923,0.598706325682924,0.08854547576636610
MANHATTAN,CHELSEA ADDITION,176,40.749644,-74.001468,134,96,96,336.0,3.5,114,114,88,0.926,1,0,"$7,149.00",$337.00,4,23,42,21,0.369441340181764,0.401293674317076,0.35083380006148400
BROOKLYN,ROOSEVELT II,177,40.694332,-73.935585,135,342,342,"1,496.0",4.37,727,727,139,0.41,3,0,"$4,312.00",$538.00,5,36,65,21,0.5,0.401293674317076,0.6080888907355410
MANHATTAN,WSUR (BROWNSTONES),178,40.789438,-73.96906,127,236,236,784.0,3.32,329,329,103,0.45,36,0,"$4,936.00",$501.00,6,16,13,17,0.630558659818236,0.773372647623132,0.17882497095046500
BRONX,1010 EAST 178TH STREET,180,40.840796,-73.880297,180,218,220,918.0,4.21,450,450,89,0.418,1,0,"$5,341.00",$503.00,5,20,32,19,0.5,0.598706325682924,0.39485672655331700
MANHATTAN,METRO NORTH PLAZA,181,40.787192,-73.943161,112,271,275,"1,301.5",4.8,643,643,112,0.416,3,0,"$5,105.00",$574.00,3,24,29,20,0.252492537546923,0.5,0.3834065814781680
BROOKLYN,WOODSON,182,40.66474,-73.902255,182,407,407,"1,419.5",3.49,449,449,359,0.886,2,0,"$5,785.00",$342.00,3,22,39,21,0.252492537546923,0.401293674317076,0.3502177000765460
MANHATTAN,MELTZER TOWER,183,40.723106,-73.987174,100,229,231,686.5,3,247,247,199,0.896,1,0,"$7,487.00",$290.00,11,39,60,19,0.977249868051821,0.598706325682924,0.7330185953316350
MANHATTAN,HERNANDEZ,184,40.722232,-73.989489,100,149,149,601.5,4.04,260,260,80,0.544,1,0,"$6,077.00",$524.00,13,48,71,20,0.99616961943241,0.5,0.8629743349167810
MANHATTAN,344 EAST 28TH STREET,185,40.739948,-73.976987,153,225,225,985.5,4.38,281,427,111,0.502,1,0,"$5,053.00",$516.00,4,14,42,22,0.369441340181764,0.308537538725987,0.25810462723853200
QUEENS,LATIMER GARDENS,186,40.765843,-73.830402,186,423,423,"1,708.5",4.04,792,792,217,0.513,4,0,"$5,442.00",$526.00,2,30,11,17,0.158655253931457,0.773372647623132,0.3399480657729020
MANHATTAN,AMSTERDAM ADDITION,187,40.774661,-73.987003,22,175,175,762.5,4.36,287,353,97,0.557,1,0,"$9,250.00",$510.00,2,15,21,21,0.158655253931457,0.401293674317076,0.13598976228522900
BRONX,BOSTON ROAD PLAZA,189,40.862001,-73.865947,39,232,235,814.0,3.51,276,276,207,0.892,1,1,"$8,452.00",$368.00,9,26,10,15,0.908788780274132,0.894350226333145,0.40920658196794500
BRONX,DAVIDSON,190,40.82737,-73.899212,342,175,175,841.5,4.81,479,479,69,0.394,1,0,"$10,259.00",$544.00,8,44,50,19,0.841344746068543,0.598706325682924,0.6892739712038830
BRONX,MIDDLETOWN PLAZA,191,40.844728,-73.829135,34,177,179,602.5,3.4,192,192,160,0.914,1,0,"$9,776.00",$313.00,1,6,7,18,0.0912112197258679,0.691462461274013,0.10883780097373100
MANHATTAN,SEWARD PARK EXTENSION,192,40.716956,-73.986875,100,360,360,"1,591.0",4.42,796,796,146,0.412,2,2,"$7,394.00",$511.00,14,44,44,18,0.99865010196837,0.691462461274013,0.7719920786638830
BRONX,THROGGS NECK ADDITION,193,40.821997,-73.825914,63,287,287,"1,330.5",4.64,692,692,112,0.4,4,0,"$5,523.00",$542.00,0,5,4,22,0.0477903522728147,0.308537538725987,0.04232271376521010
BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,194,40.656598,-73.888025,194,336,336,"1,343.0",4,627,627,145,0.438,3,1,"$8,606.00",$462.00,5,14,22,20,0.5,0.5,0.2546900584576320
BRONX,FORT INDEPENDENCE STREET-HEATH AVENUE,197,40.879544,-73.900189,197,342,344,"1,509.0",4.41,733,733,117,0.347,1,0,"$6,933.00",$544.00,2,21,8,17,0.158655253931457,0.773372647623132,0.1893551628635840
MANHATTAN,BARUCH HOUSES ADDITION,198,40.717066,-73.979179,60,197,197,646.5,3.28,242,242,179,0.923,1,0,"$9,907.00",$302.00,2,21,40,21,0.158655253931457,0.401293674317076,0.3086667443745430
MANHATTAN,CORSI HOUSES,199,40.797103,-73.936907,64,171,171,512.5,3,186,186,144,0.867,1,0,"$11,882.00",$303.00,9,24,25,18,0.908788780274132,0.691462461274013,0.41379145186818400
QUEENS,LEAVITT STREET-34TH AVENUE,201,40.766916,-73.828691,186,83,83,272.5,3.28,104,104,76,0.916,1,0,"$9,244.00",$309.00,7,20,17,17,0.747507462453077,0.773372647623132,0.34496837745255700
BRONX,BAILEY AVENUE-WEST 193RD STREET,202,40.869943,-73.906697,197,232,233,976.0,4.21,455,455,89,0.387,1,0,"$8,173.00",$493.00,1,16,37,22,0.0912112197258679,0.308537538725987,0.21578936294451000
MANHATTAN,335 EAST 111TH STREET,203,40.793221,-73.938141,64,66,66,259.0,3.92,114,114,33,0.5,1,0,"$4,651.00",$482.00,8,29,21,17,0.841344746068543,0.773372647623132,0.4607626371158570
MANHATTAN,"PARK AVENUE-EAST 122ND, 123RD STREETS",204,40.80304,-73.939229,241,90,90,419.0,4.66,205,205,37,0.42,2,1,"$5,017.00",$542.00,3,21,37,21,0.252492537546923,0.401293674317076,0.3378315320596100
BROOKLYN,FENIMORE-LEFFERTS,205,40.660285,-73.942221,167,36,36,180.0,5,98,98,12,0.333,18,0,"$3,520.00",$741.00,5,17,46,21,0.5,0.401293674317076,0.40138515667190100
STATEN ISLAND,CASSIDY-LAFAYETTE,206,40.64241,-74.09658,117,378,380,"1,248.0",3.3,439,439,323,0.878,4,1,"$5,315.00",$323.00,2,0,6,21,0.158655253931457,0.401293674317076,0.04795229976007030
BROOKLYN,FIORENTINO PLAZA,207,40.672861,-73.891642,261,158,160,787.0,4.98,443,443,31,0.197,8,0,"$7,712.00",$537.00,7,26,38,19,0.747507462453077,0.598706325682924,0.4788291480322920
BRONX,EAST 180TH STREET-MONTEREY AVENUE,208,40.850566,-73.892587,180,239,239,"1,052.5",4.4,531,531,88,0.373,1,1,"$8,221.00",$531.00,1,48,59,20,0.0912112197258679,0.5,0.7078805435380680
,FHA REPOSSESSED HOUSES (GROUP I),209,40.685448,-73.768682,91,21,29,111.5,5.31,,35,,,26,,$6.56,$812.00,0,1,4,24,0.0477903522728147,0.158655253931457,0.005959771777515920
,FHA REPOSSESSED HOUSES (GROUP II),212,40.688097,-73.780156,91,10,14,54.0,5.4,,25,,,12,,$6.93,$920.00,1,4,9,23,0.0912112197258679,0.226627352376868,0.03588768495922390
,FHA REPOSSESSED HOUSES (GROUP III),213,40.701352,-73.769363,91,11,13,60.5,5.5,,20,,,12,,$7.52,"$1,089.00",1,2,6,20,0.0912112197258679,0.5,0.04611114169662560
BRONX,1471 WATSON AVENUE,214,40.826136,-73.88108,67,96,96,386.0,4.02,156,156,47,0.505,1,0,"$5,814.00",$452.00,7,15,45,21,0.747507462453077,0.401293674317076,0.3586705617179380
BRONX,HOE AVENUE-EAST 173RD STREET,215,40.836292,-73.886964,530,65,65,270.5,4.16,144,144,22,0.344,1,0,"$5,801.00",$505.00,10,19,54,21,0.952209647727185,0.401293674317076,0.43974478648256200
BROOKLYN,CONEY ISLAND I (SITES 4 & 5),216,40.574817,-73.993165,170,376,376,"1,879.0",5,"1,029","1,029",103,0.279,1,1,"$8,808.00",$595.00,6,5,6,15,0.630558659818236,0.894350226333145,0.15620944640833100
MANHATTAN,ROBBINS PLAZA,218,40.766827,-73.95716,139,150,150,470.0,3.13,160,160,136,0.919,1,0,"$9,568.00",$340.00,6,17,23,20,0.630558659818236,0.5,0.223489418685475
BROOKLYN,STUYVESANT GARDENS I,221,40.688252,-73.933165,221,329,331,"1,614.5",4.91,828,828,96,0.293,5,0,"$6,212.00",$626.00,8,30,56,21,0.841344746068543,0.401293674317076,0.5182281727981610
BRONX,TELLER AVENUE-EAST 166TH STREET,223,40.830032,-73.912611,308,90,90,352.0,3.91,185,185,41,0.461,1,0,"$6,363.00",$463.00,9,40,85,20,0.908788780274132,0.5,0.7220073847664810
BRONX,EAGLE AVENUE-EAST 163RD STREET,224,40.823008,-73.908395,59,65,66,273.5,4.21,125,125,23,0.354,1,0,"$6,078.00",$472.00,6,33,88,22,0.630558659818236,0.308537538725987,0.5741625687453470
BRONX,GLEBE AVENUE-WESTCHESTER AVENUE,225,40.835055,-73.850952,67,131,132,434.5,3.32,143,143,124,0.947,1,0,"$7,467.00",$324.00,3,14,16,18,0.252492537546923,0.691462461274013,0.2297019696531210
,FHA REPOSSESSED HOUSES (GROUP IV),226,40.696861,-73.764495,91,10,13,59.0,5.9,,20,,,13,,$7.38,$943.00,1,2,5,20,0.0912112197258679,0.5,0.03459755965311350
QUEENS,CONLON LIHFE TOWER,232,40.706249,-73.788444,91,214,216,701.0,3.28,240,240,192,0.91,1,0,"$7,973.00",$352.00,0,2,13,24,0.0477903522728147,0.158655253931457,0.047359080502342800
BRONX,1162-1176 WASHINGTON AVENUE,233,40.829969,-73.907259,308,65,66,293.5,4.52,170,170,21,0.328,1,0,"$7,302.00",$440.00,10,35,78,21,0.952209647727185,0.401293674317076,0.6352217863499180
BROOKLYN,TAYLOR STREET-WYTHE AVENUE,234,40.704255,-73.964911,234,525,525,"2,465.5",4.7,"1,226","1,226",227,0.438,5,1,"$8,118.00",$477.00,1,25,30,19,0.0912112197258679,0.598706325682924,0.4059581654515920
BRONX,BRYANT AVENUE-EAST 174TH STREET,235,40.835934,-73.885743,530,72,72,284.0,3.94,135,135,33,0.465,1,0,"$7,315.00",$519.00,8,18,57,21,0.841344746068543,0.401293674317076,0.43126927513145000
BRONX,COLLEGE AVENUE-EAST 165TH STREET,236,40.829265,-73.915108,308,95,95,307.5,3.24,102,102,84,0.894,1,0,"$7,869.00",$288.00,8,35,90,20,0.841344746068543,0.5,0.7198239075457190
BRONX,EAST 152ND STREET-COURTLANDT AVENUE,237,40.818535,-73.917748,28,221,221,913.5,4.13,382,382,144,0.652,2,0,"$8,330.00",$423.00,17,26,64,19,0.999968328758167,0.598706325682924,0.5939662839908340
BROOKLYN,CONEY ISLAND I (SITE 8),238,40.573536,-74.000924,172,124,125,626.0,5.05,361,361,37,0.306,1,0,"$9,255.00",$559.00,0,7,5,18,0.0477903522728147,0.691462461274013,0.08762251305575870
BROOKLYN,CONEY ISLAND I (SITE 1B),239,40.57543,-73.987267,166,192,193,952.0,4.96,512,512,73,0.382,1,0,"$7,829.00",$552.00,5,8,7,17,0.5,0.773372647623132,0.16429840976231200
BROOKLYN,"UNITY PLAZA (SITES 17,24,25A)",240,40.66824,-73.896779,261,167,167,768.5,4.6,471,471,41,0.247,3,0,"$6,699.00",$583.00,7,25,41,20,0.747507462453077,0.5,0.47710591346847700
MANHATTAN,ROBINSON,241,40.806871,-73.936424,241,188,189,834.0,4.44,421,421,70,0.376,1,0,"$7,068.00",$565.00,2,12,38,22,0.158655253931457,0.308537538725987,0.2436051053706910
BROOKLYN,104-14 TAPSCOTT STREET,242,40.665087,-73.9206,167,30,30,131.0,4.37,65,65,5,0.172,1,0,"$6,505.00",$643.00,8,35,45,19,0.841344746068543,0.598706325682924,0.571243634201234
BROOKLYN,BORINQUEN PLAZA I,243,40.704531,-73.942667,243,509,509,"2,359.5",4.64,"1,123","1,123",270,0.539,8,2,"$6,556.00",$539.00,9,26,70,21,0.908788780274132,0.401293674317076,0.5917993623604850
BRONX,RANDALL AVENUE-BALCOM AVENUE,245,40.822076,-73.828127,63,251,252,823.5,3.28,276,276,217,0.886,3,0,"$10,757.00",$354.00,0,3,5,21,0.0477903522728147,0.401293674317076,0.03679328811219920
BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,40.852468,-73.918218,45,148,148,485.0,3.28,159,159,130,0.897,1,0,"$8,734.00",$272.00,5,18,41,21,0.5,0.401293674317076,0.31533376459256800
BROOKLYN,GARVEY (GROUP A),252,40.669919,-73.915222,252,320,321,"1,525.0",4.77,863,863,124,0.394,3,1,"$8,168.00",$563.00,4,27,54,21,0.369441340181764,0.401293674317076,0.4731871726724100
BROOKLYN,ATLANTIC TERMINAL SITE 4B,256,40.682932,-73.970162,163,299,300,"1,237.5",4.14,582,582,121,0.41,1,0,"$8,489.00",$562.00,0,33,45,21,0.0477903522728147,0.401293674317076,0.43731411471725000
,FHA REPOSSESSED HOUSES (GROUP V),260,40.692953,-73.773905,91,29,36,153.5,5.29,,65,,,31,,$7.17,$833.00,0,1,6,24,0.0477903522728147,0.158655253931457,0.010159006305389300
BROOKLYN,UNITY PLAZA (SITES 4-27),261,40.666711,-73.897595,261,460,462,"2,141.0",4.65,"1,133","1,133",130,0.288,5,0,"$7,813.00",$557.00,9,19,37,19,0.908788780274132,0.598706325682924,0.44316301437975100
MANHATTAN,HARBORVIEW TERRACE,262,40.76851,-73.990824,22,377,377,"1,493.5",3.96,648,648,241,0.65,2,0,"$10,911.00",$522.00,6,18,27,19,0.630558659818236,0.598706325682924,0.3009567141198460
BROOKLYN,EAST NEW YORK CITY LINE,263,40.668417,-73.873664,70,66,66,409.0,6.2,258,258,19,0.292,33,0,"$6,784.00",$633.00,7,21,22,18,0.747507462453077,0.691462461274013,0.37407372907153500
MANHATTAN,BRACETTI PLAZA,264,40.722225,-73.981022,337,108,108,538.0,4.98,257,257,47,0.439,1,0,"$8,008.00",$596.00,5,33,37,20,0.5,0.5,0.43202709202494200
MANHATTAN,45 ALLEN STREET,265,40.716719,-73.992267,100,107,107,537.5,5.02,237,237,46,0.442,1,1,"$7,981.00",$687.00,13,55,34,17,0.99616961943241,0.773372647623132,0.9118267008236050
MANHATTAN,TWO BRIDGES URA (SITE 7),266,40.710882,-73.986213,76,250,250,"1,251.0",5,622,622,107,0.428,1,0,"$8,414.00",$650.00,2,24,46,21,0.158655253931457,0.401293674317076,0.4016787076619580
BRONX,MORRISANIA AIR RIGHTS,267,40.824132,-73.91772,267,841,843,"3,788.5",4.5,"1,681","1,681",428,0.521,3,0,"$10,584.00",$473.00,8,41,61,20,0.841344746068543,0.5,0.6124667105692970
MANHATTAN,THOMAS APARTMENTS,268,40.789705,-73.970438,127,87,87,304.5,3.5,96,96,75,0.872,1,0,"$36,744.00",$375.00,8,14,13,17,0.841344746068543,0.773372647623132,0.18601952790566700
BROOKLYN,BORINQUEN PLAZA II,271,40.705419,-73.940337,243,425,425,"2,265.5",5.33,"1,123","1,123",149,0.351,7,0,"$7,244.00",$612.00,7,24,68,21,0.747507462453077,0.401293674317076,0.573993824264537
,FHA REPOSSESSED HOUSES (GROUP VI),273,40.691943,-73.766008,91,6,9,32.0,5.33,,11,,,7,,$7.32,$750.00,0,2,4,22,0.0477903522728147,0.308537538725987,0.017732909320158900
,FHA REPOSSESSED HOUSES (GROUP VII),274,40.685193,-73.76648,91,5,8,29.5,5.9,,9,,,8,,$8.26,$929.00,0,3,4,23,0.0477903522728147,0.226627352376868,0.012273767748650200
,FHA REPOSSESSED HOUSES (GROUP VIII),275,40.692459,-73.765172,91,5,9,29.5,5.9,,16,,,9,,$8.57,"$1,249.00",0,2,4,22,0.0477903522728147,0.308537538725987,0.018790943456059300
BROOKLYN,LONG ISLAND BAPTIST HOUSES,276,40.667455,-73.897301,261,229,232,"1,039.5",4.54,526,526,63,0.283,4,0,"$11,010.00",$540.00,9,24,36,19,0.908788780274132,0.598706325682924,0.4804934332155960
